t(s),Adsorbed H on surface 1,Total T surface 1
5262.217182602084,4.929800190313641e+18,300.0
5272.217182602084,4.928482412787208e+18,300.0
5282.217182602084,4.927169229209044e+18,300.0
5292.217182602084,4.925860602815322e+18,300.0
5302.217182602084,4.924556497297489e+18,300.0
5312.217182602084,4.923256876794661e+18,300.0
5322.217182602084,4.921961705886183e+18,300.0
5332.217182602084,4.920670949584341e+18,300.0
5342.217182602084,4.919384573327223e+18,300.0
5352.217182602084,4.918102542971734e+18,300.0
5362.217182602084,4.91682482478675e+18,300.0
5372.217182602084,4.915551385446416e+18,300.0
5382.217182602084,4.914282192023577e+18,300.0
5392.217182602084,4.913017211983343e+18,300.0
5402.217182602084,4.911756413176791e+18,300.0
5412.217182602084,4.910499763834787e+18,300.0
5422.217182602084,4.909247232561932e+18,300.0
5432.217182602084,4.907998788330634e+18,300.0
5442.217182602084,4.906754400475296e+18,300.0
5452.217182602084,4.905514038686616e+18,300.0
5462.217182602084,4.904277673006006e+18,300.0
5472.217182602084,4.903045273820116e+18,300.0
5482.217182602084,4.901816811855465e+18,300.0
5492.217182602084,4.900592258173182e+18,300.0
5502.217182602084,4.899371584163843e+18,300.0
5512.217182602084,4.898154761542414e+18,300.0
5522.217182602084,4.896941762343286e+18,300.0
5532.217182602084,4.895732558915406e+18,300.0
5542.217182602084,4.89452712391751e+18,300.0
5552.217182602084,4.893325430313432e+18,300.0
5562.217182602084,4.892127451367515e+18,300.0
5572.217182602084,4.890933160640103e+18,300.0
5582.217182602084,4.889742531983118e+18,300.0
5592.217182602084,4.88855553953572e+18,300.0
5602.217182602084,4.887372157720052e+18,300.0
5612.217182602084,4.886192361237055e+18,300.0
5622.217182602084,4.885016125062376e+18,300.0
5632.217182602084,4.883843424442335e+18,300.0
5642.217182602084,4.882674234889976e+18,300.0
5652.217182602084,4.881508532181187e+18,300.0
5662.217182602084,4.880346292350894e+18,300.0
5672.217182602084,4.879187491689324e+18,300.0
5682.217182602084,4.878032106738327e+18,300.0
5692.217182602084,4.876880114287779e+18,300.0
5702.217182602084,4.875731491372039e+18,300.0
5712.217182602084,4.874586215266473e+18,300.0
5722.217182602084,4.873444263484038e+18,300.0
5732.217182602084,4.872305613771934e+18,300.0
5742.217182602084,4.871170244108303e+18,300.0
5752.217182602084,4.870038132699001e+18,300.0
5762.217182602084,4.868909257974412e+18,300.0
5772.217182602084,4.867783598586332e+18,300.0
5782.217182602084,4.866661133404894e+18,300.0
5792.217182602084,4.865541841515558e+18,300.0
5802.217182602084,4.864425702216145e+18,300.0
5812.217182602084,4.86331269501393e+18,300.0
5822.217182602084,4.862202799622776e+18,300.0
5832.217182602084,4.861095995960325e+18,300.0
5842.217182602084,4.859992264145234e+18,300.0
5852.217182602084,4.858891584494456e+18,300.0
5862.217182602084,4.857793937520571e+18,300.0
5872.217182602084,4.856699303929162e+18,300.0
5882.217182602084,4.855607664616228e+18,300.0
5892.217182602084,4.854519000665654e+18,300.0
5902.217182602084,4.853433293346711e+18,300.0
5912.217182602084,4.852350524111601e+18,300.0
5922.217182602084,4.85127067459305e+18,300.0
5932.217182602084,4.850193726601929e+18,300.0
5942.217182602084,4.849119662124925e+18,300.0
5952.217182602084,4.848048463322244e+18,300.0
5962.217182602084,4.846980112525352e+18,300.0
5972.217182602084,4.845914592234757e+18,300.0
5982.217182602084,4.844851885117824e+18,300.0
5992.217182602084,4.843791974006623e+18,300.0
6002.217182602084,4.842734841895821e+18,300.0
6012.217182602084,4.841680471940598e+18,300.0
6022.217182602084,4.840628847454598e+18,300.0
6032.217182602084,4.839579951907923e+18,300.0
6042.217182602084,4.838533768925143e+18,300.0
6052.217182602084,4.837490282283351e+18,300.0
6062.217182602084,4.836449475910243e+18,300.0
6072.217182602084,4.83541133388223e+18,300.0
6082.217182602084,4.834375840422575e+18,300.0
6092.217182602084,4.83334297989957e+18,300.0
