x,t=1.00e+00s,t=3.00e+00s,t=5.00e+00s
7.171717171717172379e-01,4.745842260993770267e+00,8.745842260993509143e+00,1.274584226099333151e+01
7.373737373737374590e-01,4.824813794510759202e+00,8.824813794510500742e+00,1.282481379451033021e+01
7.272727272727272929e-01,4.785123966942143703e+00,8.785123966941885243e+00,1.278512396694170761e+01
7.474747474747475140e-01,4.864911743699617652e+00,8.864911743699360969e+00,1.286491174369918333e+01
7.373737373737374590e-01,4.824813794510759202e+00,8.824813794510498965e+00,1.282481379451032133e+01
7.575757575757576801e-01,4.905417814508718166e+00,8.905417814508458818e+00,1.290541781450828474e+01
7.474747474747475140e-01,4.864911743699619429e+00,8.864911743699359192e+00,1.286491174369918333e+01
7.676767676767677351e-01,4.946332006938062520e+00,8.946332006937799619e+00,1.294633200693763087e+01
7.575757575757576801e-01,4.905417814508719054e+00,8.905417814508460594e+00,1.290541781450827941e+01
7.777777777777777901e-01,4.987654320987649825e+00,8.987654320987392254e+00,1.298765432098721462e+01
7.676767676767677351e-01,4.946332006938063408e+00,8.946332006937803172e+00,1.294633200693762554e+01
7.878787878787879562e-01,5.029384756657480970e+00,9.029384756657215405e+00,1.302938475665704132e+01
7.777777777777777901e-01,4.987654320987648937e+00,8.987654320987395806e+00,1.298765432098721639e+01
7.979797979797980112e-01,5.071523313947551515e+00,9.071523313947293943e+00,1.307152331394711986e+01
7.878787878787879562e-01,5.029384756657478306e+00,9.029384756657215405e+00,1.302938475665703777e+01
8.080808080808081773e-01,5.114069992857866787e+00,9.114069992857606550e+00,1.311406999285743247e+01
7.979797979797980112e-01,5.071523313947553291e+00,9.071523313947293943e+00,1.307152331394711631e+01
8.181818181818182323e-01,5.157024793388425898e+00,9.157024793388165662e+00,1.315702479338799513e+01
8.080808080808081773e-01,5.114069992857866787e+00,9.114069992857604774e+00,1.311406999285742714e+01
8.282828282828283983e-01,5.200387715539227074e+00,9.200387715538965949e+00,1.320038771553879009e+01
8.181818181818182323e-01,5.157024793388425898e+00,9.157024793388165662e+00,1.315702479338799158e+01
8.383838383838384534e-01,5.244158759310271201e+00,9.244158759310012741e+00,1.324415875930983511e+01
8.282828282828283983e-01,5.200387715539227074e+00,9.200387715538962397e+00,1.320038771553878654e+01
8.484848484848485084e-01,5.288337924701558279e+00,9.288337924701298931e+00,1.328833792470112485e+01
8.383838383838384534e-01,5.244158759310269424e+00,9.244158759310007412e+00,1.324415875930982978e+01
8.585858585858586745e-01,5.332925211713086533e+00,9.332925211712826297e+00,1.333292521171265044e+01
8.484848484848485084e-01,5.288337924701558279e+00,9.288337924701298931e+00,1.328833792470112130e+01
8.686868686868687295e-01,5.377920620344858627e+00,9.377920620344600167e+00,1.337792062034441720e+01
8.585858585858586745e-01,5.332925211713086533e+00,9.332925211712826297e+00,1.333292521171264866e+01
8.787878787878788955e-01,5.423324150596875448e+00,9.423324150596613435e+00,1.342332415059644113e+01
8.686868686868687295e-01,5.377920620344859515e+00,9.377920620344600167e+00,1.337792062034441898e+01
8.888888888888889506e-01,5.469135802469132557e+00,9.469135802468873209e+00,1.346913580246869557e+01
8.787878787878788955e-01,5.423324150596874560e+00,9.423324150596611659e+00,1.342332415059643402e+01
8.989898989898991166e-01,5.515355575961635282e+00,9.515355575961372381e+00,1.351535557596119297e+01
8.888888888888889506e-01,5.469135802469132557e+00,9.469135802468874985e+00,1.346913580246869557e+01
9.090909090909091717e-01,5.561983471074377405e+00,9.561983471074114505e+00,1.356198347107394397e+01
8.989898989898991166e-01,5.515355575961632617e+00,9.515355575961372381e+00,1.351535557596119475e+01
9.191919191919192267e-01,5.609019487807364257e+00,9.609019487807101356e+00,1.360901948780692017e+01
9.090909090909091717e-01,5.561983471074376517e+00,9.561983471074114505e+00,1.356198347107393687e+01
9.292929292929293927e-01,5.656463626160594949e+00,9.656463626160332936e+00,1.365646362616014819e+01
9.191919191919192267e-01,5.609019487807363369e+00,9.609019487807101356e+00,1.360901948780693083e+01
9.393939393939394478e-01,5.704315886134065927e+00,9.704315886133802138e+00,1.370431588613362450e+01
9.292929292929293927e-01,5.656463626160592284e+00,9.656463626160331160e+00,1.365646362616014997e+01
9.494949494949496138e-01,5.752576267727782522e+00,9.752576267727517845e+00,1.375257626772734554e+01
9.393939393939394478e-01,5.704315886134065039e+00,9.704315886133803915e+00,1.370431588613362628e+01
9.595959595959596689e-01,5.801244770941736739e+00,9.801244770941474727e+00,1.380124477094129887e+01
9.494949494949496138e-01,5.752576267727781634e+00,9.752576267727514292e+00,1.375257626772734021e+01
9.696969696969697239e-01,5.850321395775941014e+00,9.850321395775674560e+00,1.385032139577549515e+01
9.595959595959596689e-01,5.801244770941736739e+00,9.801244770941472950e+00,1.380124477094129887e+01
9.797979797979798899e-01,5.899806142230382022e+00,9.899806142230120898e+00,1.389980614222994149e+01
9.696969696969697239e-01,5.850321395775941014e+00,9.850321395775674560e+00,1.385032139577550048e+01
9.898989898989899450e-01,5.949699010305068647e+00,9.949699010304803082e+00,1.394969901030462900e+01
9.797979797979798899e-01,5.899806142230382910e+00,9.899806142230119121e+00,1.389980614222993971e+01
1.000000000000000000e+00,5.999999999999998224e+00,9.999999999999731770e+00,1.399999999999955413e+01
9.898989898989899450e-01,5.949699010305067759e+00,9.949699010304806635e+00,1.394969901030462900e+01
